numero_tarjeta,curp_cliente,vencimiento,tipo_tarjeta
4041596754318806,BQSU621230HZSYZE86,8/25/2024,visa
4017950039060594,QVIX721231HZSEPS13,10/11/2023,visa
4844731809400221,XLVS621207HYNQAI50,9/8/2023,visa-electron
374622568101108,DZVT920831MZSHSN66,7/29/2024,americanexpress
4508282083824592,SFDG021209MTCMPS35,12/10/2025,visa-electron
372301766410825,BKQI921231MZSQDH90,1/30/2025,americanexpress
374904073338619,OAHK020430HVZOXY47,7/8/2026,americanexpress
4405116793433878,VUHJ521218HTSQPM17,7/24/2026,visa-electron
4508356008288362,ZGER021130MYNZPB01,4/13/2026,visa-electron
4041598597119003,VXSB720530MQRJDY79,10/18/2022,visa
4026613222640759,WDCR821200MZSFMO20,10/19/2023,visa-electron
4041374310118,MTHZ221130HYNKUL91,5/7/2025,visa
374283334277027,FNCB421230MZSRZY37,1/14/2023,americanexpress
5108756366988555,RJFB721030HZSLRE90,9/9/2025,mastercard
374622979661591,NEXP121009HZSNMA83,3/16/2025,americanexpress
4405059546573816,BPUX321131MZSJCI32,4/16/2023,visa-electron
5100146242986999,SIOZ820211HZSVWO60,4/17/2023,mastercard
5318383689584718,NEXK021231MTSFAO31,3/13/2026,mastercard
4508985749961976,MWSX920330MZSBNY45,8/8/2022,visa-electron
4508157061788540,JGSZ021231MYNPRW63,12/23/2024,visa-electron
4917726490936220,IMZO921203MZSVKN50,9/29/2024,visa-electron
374283320430408,KCUL121131MTSXDZ96,4/21/2025,americanexpress
4041598739225,FZVK621231MYNMLX15,8/3/2026,visa
4345577850634,DQTJ621130MYNKAW11,10/23/2024,visa
4026999955083816,QYPE121130HZSCXN48,8/24/2022,visa-electron
4017957007712833,UCDG021031HSRMQB67,10/2/2023,visa
5495586893512011,BYRX821230HVZJAF46,1/10/2024,mastercard
5501639332384740,YXUO121131HZSRJA34,4/5/2023,mastercard
4041591814745809,ZJBH021002MYNMER90,11/24/2026,visa
4017950988279,LIYN221231HVZJBI91,10/11/2026,visa
4026975460809408,CWAE821219HZSWDI94,8/22/2023,visa-electron
4017954324471,WATL621110HZSQYV71,2/13/2025,visa
5336284713135188,SDTJ121017HZSMOC87,3/10/2025,mastercard
4508644379217528,DKSU421031MTCERN70,12/21/2021,visa-electron
374288200256203,XAMK221231HTCNPZ17,10/22/2023,americanexpress
4041378400386,AUCL921230MVZNUD55,4/4/2023,visa
5583975056812685,ORDP221131HYNMUR41,2/12/2026,mastercard
5048374086576891,JBTK421230MYNHNP33,10/4/2022,mastercard
374288638010941,AMHJ721118MZSJVZ31,3/21/2026,americanexpress
5007666230356958,RIDK320330MVZNWZ47,12/21/2024,mastercard
4175003921912643,MDZP621231HZSTXU76,3/9/2023,visa-electron
5518524746247454,AJHT421231HTCVYC84,4/28/2024,mastercard
4041593603087,NLYP821202MZSPNS93,4/25/2025,visa
5281576144639596,XVQK421131HZSZUX96,2/2/2026,mastercard
4508340603986976,GCKX421131HYNFWM60,1/1/2022,visa-electron
5100172475614587,LVBZ021231HVZGVI39,2/25/2023,mastercard
4041375457603,CINT721231HQRYFL45,8/16/2024,visa
4508804273566137,JECA921119HZSMUS14,5/17/2024,visa-electron
377358201622195,YRSM021230MZSFPM26,6/3/2026,americanexpress
374283191126523,XSKM221231HSPCBQ98,12/28/2023,americanexpress
4913665963694060,TFIW221130HTSMNE66,1/17/2026,visa-electron
4508040884637658,WMFE221230MZSJPF40,9/20/2026,visa-electron
343847827177296,SYMT520230MZSRNX14,3/20/2023,americanexpress
5100130473969361,UOBN321219MZSZTC31,7/16/2024,mastercard
372301189062690,RMCA321214HZSLCP73,10/21/2022,americanexpress
348496433360642,RKTB521231HYNWST83,8/28/2024,americanexpress
4175002872257842,DOYT021231HYNVKP51,1/16/2024,visa-electron
5100174548596270,IVNM221030HYNRHP18,8/18/2025,mastercard
5010120500201358,QJUC821231MYNMEP18,2/15/2022,mastercard
4405231351914423,YJIE921231HYNIUR87,3/17/2023,visa-electron
374288717203805,KOLT621231HZSXZG27,10/21/2025,americanexpress
4508742580070502,KVZC021130MZSNMX15,5/29/2025,visa-electron
372301602516991,PDRN021130HYNANR07,11/20/2026,americanexpress
374283506270297,BYVZ521006MVZZLB61,6/27/2026,americanexpress
373689070003891,LFXW921231MTCEFU02,8/26/2024,americanexpress
374283809503667,OMKU821231MZSPXD99,6/14/2023,americanexpress
4256209297248346,OJWP421231MZSXRB66,1/31/2025,visa
4659276963779006,HAMJ620030MTCWRO35,3/8/2022,visa
4026263776990430,QWSJ020831HTSFGN60,6/11/2023,visa-electron
5002352808277463,UICW320504MVZSXV86,7/25/2026,mastercard
4175008391702002,MXPC921231MZSHRN21,3/31/2022,visa-electron
5570979005096403,ZUBQ321212MTSPNQ59,11/13/2023,mastercard
4041374038818,UQRB921206MZSKAP63,1/27/2026,visa
5302886065777993,XLKW021131HZSEFB58,4/10/2025,mastercard
4917815771878423,KILR221230HZSODB67,9/15/2023,visa-electron
344982993327778,XWZB421231HYNLAZ87,6/27/2025,americanexpress
4017954714317,AKQB021131HTSHVN66,2/13/2024,visa
4107712135507,MFOK021100MZSLEK39,2/3/2026,visa
4388870203242086,BIYT021119MZSXFC75,6/26/2024,visa
4041370777496472,YWLS121231MZSDJU15,5/25/2024,visa
4844577968196872,QWRY820730MZSLZC24,8/2/2024,visa-electron
5316833408702944,YNEL921231HZSCIR99,12/11/2023,mastercard
4017958838037655,GAVK321131HZSFKI86,1/29/2023,visa
4405221931522531,ANFL021231HZSFWH34,12/20/2022,visa-electron
337941350382395,AIZY421131HTSJEP90,10/13/2023,americanexpress
374622586671330,RZCJ821208MZSBKW13,12/23/2021,americanexpress
4508410289251126,PNGV820231HYNFRT85,9/13/2026,visa-electron
4017952777951513,FREQ421216HYNROS36,8/6/2025,visa
337941501500127,UJMD221219MYNIBN54,10/3/2025,americanexpress
5048374814056315,ACWQ121200HYNSTB38,1/20/2023,mastercard
4017951336445,TEYX821116HZSDHC89,5/29/2023,visa
4041372573408438,VPHT621114HYNLPC29,11/1/2025,visa
374288226606829,AIXQ721230MZSZLX30,5/22/2025,americanexpress
374283283307742,QPHB020831MYNJMS28,10/8/2023,americanexpress
372301905582435,FAYL120930HVZUYL36,7/27/2026,americanexpress
5156363244633270,QEMV621231HZSTKI97,10/4/2023,mastercard
4017955417656723,NMJV521231HVZWFK73,11/14/2025,visa
4844587639795606,LEZO421130MZSQAO81,10/1/2025,visa-electron
5007665241037615,HAZK721106HVZPRW98,2/15/2022,mastercard
340632624226014,QJMF521030MTSNGV35,3/16/2025,americanexpress
